Name,FraudDetected
Danny,0
Name1,0
Name1,0
Name1,0
Name1,0
Name1,0
Name1,0
Name1,0
Name2,0
Name2,0
Name2,0
Name2,0
Name2,0
Name3,0
Name3,0
Name3,0
Name3,0
Name3,0
Name3,0
Name3,0
Name4,0
Name4,0
Name4,0
Name4,0
Name4,0
Name4,0
Name5,0
Name5,0
Name5,0
Name5,0
Name5,0
Name5,0
Name5,0
Name5,0
Name6,0
Name6,0
Name6,0
Name6,0
Name6,0
Name6,0
Name6,0
Name7,0
Name7,0
Name7,0
Name7,0
Name7,0
Name7,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name8,0
Name9,0
Name9,0
Name9,0
Name9,0
Name9,0
Name9,0
Name9,0
Name10,0
Name10,0
Name10,0
Name10,0
Name10,0
Name10,0
Name10,0
Name11,0
Name11,0
Name11,0
Name11,0
Name11,0
Name11,0
Name11,0
Name11,0
Name12,0
Name12,0
Name12,0
Name12,0
Name12,0
Name12,0
Name12,0
Name12,0
Name12,0
Name13,0
Name13,0
Name13,0
Name13,0
Name14,0
Name14,0
Name14,0
Name14,0
Name14,0
Name14,0
Name14,0
Name14,0
Name15,0
Name15,0
Name15,0
Name15,0
Name15,0
Name15,0
Name16,0
Name16,0
Name16,0
Name16,0
Name17,0
Name17,0
Name17,0
Name17,0
Name17,0
Name18,0
Name18,0
Name18,0
Name18,0
Name18,0
Name18,0
Name18,0
Name19,0
Name19,0
Name19,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name20,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name21,0
Name22,0
Name22,0
Name22,0
Name23,0
Name23,0
Name23,0
Name23,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name24,0
Name25,0
Name25,0
Name25,0
Name25,0
Name25,0
Name25,0
Name25,0
Name25,0
Name26,0
Name26,0
Name26,0
Name26,0
Name26,0
Name26,0
Name26,0
Name26,0
Name27,0
Name27,0
Name27,0
Name27,0
Name27,0
Name27,0
Name27,0
Name28,0
Name28,0
Name28,0
Name28,0
Name28,0
Name28,0
Name28,0
Name28,0
Name28,0
Name29,0
Name29,0
Name29,0
Name29,0
Name29,0
Name30,0
Name30,0
Name30,0
Name30,0
Name30,0
Name30,0
Name30,0
Name30,0
Name30,0
Name31,0
Name31,0
Name32,0
Name32,0
Name32,0
Name32,0
Name32,0
Name32,0
Name33,0
Name33,0
Name33,0
Name33,0
Name33,0
Name33,0
Name33,0
Name33,0
Name34,0
Name34,0
Name34,0
Name35,0
Name35,0
Name35,0
Name35,0
Name35,0
Name35,0
Name36,0
Name36,0
Name36,0
Name36,0
Name37,0
Name37,0
Name37,0
Name37,0
Name37,0
Name37,0
Name37,0
Name37,0
Name37,0
Name38,0
Name38,0
Name38,0
Name38,0
Name38,0
Name38,0
Name38,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name39,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name40,0
Name41,0
Name41,0
Name41,0
Name41,0
Name41,0
Name41,0
Name42,0
Name43,0
Name43,0
Name43,0
Name43,0
Name43,0
Name44,0
Name44,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name45,0
Name46,0
Name46,0
Name46,0
Name46,0
Name46,0
Name46,0
Name47,0
Name47,0
Name47,0
Name47,0
Name47,0
Name47,0
Name47,0
Name47,0
Name47,0
Name48,0
Name48,0
Name48,0
Name48,0
Name48,0
Name48,0
Name48,0
Name49,0
Name49,0
Name49,0
Name49,0
Name49,0
Name50,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name51,1
Name52,1
Name52,1
Name52,1
Name52,1
Name52,1
Name52,1
Name52,1
Name53,1
Name53,1
Name54,1
Name54,1
Name54,1
Name54,1
Name55,1
Name55,1
Name55,1
Name55,1
Name55,1
Name55,1
Name55,1
Name55,1
Name55,1
Name56,1
Name56,1
Name56,1
Name56,1
Name56,1
Name56,1
Name57,1
Name57,1
Name57,1
Name57,1
Name57,1
Name57,1
Name58,1
Name58,1
Name58,1
Name58,1
Name58,1
Name59,1
Name59,1
Name60,1
Name60,1
Name60,1
Name61,1
Name61,1
Name61,1
Name62,1
Name62,1
Name62,1
Name62,1
Name62,1
Name62,1
Name63,1
Name63,1
Name63,1
Name63,1
Name63,1
Name63,1
Name64,1
Name64,1
Name64,1
Name64,1
Name64,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name65,1
Name66,1
Name66,1
Name66,1
Name66,1
Name67,1
Name67,1
Name67,1
Name67,1
Name67,1
Name67,1
Name67,1
Name68,1
Name68,1
Name68,1
Name69,1
Name69,1
Name69,1
Name70,1
Name70,1
Name70,1
Name70,1
Name71,1
Name71,1
Name71,1
Name71,1
Name71,1
Name71,1
Name71,1
Name71,1
Name71,1
Name72,1
Name72,1
Name72,1
Name72,1
Name72,1
Name72,1
Name73,1
Name73,1
Name73,1
Name73,1
Name73,1
Name73,1
Name74,1
Name74,1
Name74,1
Name75,1
Name75,1
Name76,1
Name76,1
Name76,1
Name76,1
Name76,1
Name76,1
Name76,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name77,1
Name78,1
Name78,1
Name79,1
Name79,1
Name80,1
Name81,1
Name81,1
Name81,1
Name81,1
Name81,1
Name81,1
Name81,1
Name81,1
Name81,1
Name82,1
Name82,1
Name82,1
Name82,1
Name82,1
Name83,1
Name83,1
Name83,1
Name83,1
Name83,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name84,1
Name85,1
Name85,1
Name85,1
Name85,1
Name85,1
Name86,1
Name86,1
Name86,1
Name86,1
Name86,1
Name86,1
Name87,1
Name87,1
Name87,1
Name87,1
Name87,1
Name87,1
Name87,1
Name88,1
Name89,1
Name89,1
Name89,1
Name89,1
Name89,1
Name89,1
Name90,1
Name90,1
Name90,1
Name90,1
Name90,1
Name91,1
Name91,1
Name91,1
Name91,1
Name91,1
Name91,1
Name91,1
Name91,1
Name91,1
Name92,1
Name92,1
Name92,1
Name92,1
Name92,1
Name92,1
Name92,1
Name93,1
Name93,1
Name94,1
Name94,1
Name94,1
Name94,1
Name94,1
Name94,1
Name94,1
Name95,1
Name95,1
Name96,1
Name96,1
Name96,1
Name96,1
Name97,1
Name97,1
Name97,1
Name97,1
Name97,1
Name97,1
Name98,1
Name98,1
Name98,1
Name98,1
Name98,1
Name98,1
Name98,1
Name98,1
Name98,1
Name99,1
Name99,1
Name99,1
Name99,1
Name99,1
Name99,1
Name99,1
Name100,1
Name100,1
Name100,1
Name100,1
Name100,1
Name100,1
Name100,1
Name100,1
